NAME                                                                         VERSION                               TYPE        
aead.dev/mem                                                                 v0.2.0                                go-module    
aead.dev/minisign                                                            v0.3.0                                go-module    
alpine-baselayout                                                            3.6.5-r0                              apk          
alpine-baselayout-data                                                       3.6.5-r0                              apk          
alpine-keys                                                                  2.4-r1                                apk          
alpine-release                                                               3.20.2-r0                             apk          
apk-tools                                                                    2.14.4-r0                             apk          
bash                                                                         5.2.26-r0                             apk          
brotli-libs                                                                  1.1.0-r2                              apk          
busybox                                                                      1.36.1-r29                            apk          
busybox-binsh                                                                1.36.1-r29                            apk          
c-ares                                                                       1.28.1-r0                             apk          
ca-certificates                                                              20240705-r0                           apk          
ca-certificates-bundle                                                       20240705-r0                           apk          
catatonit                                                                    0.2.0-r0                              apk          
cloud.google.com/go                                                          v0.115.1                              go-module    
cloud.google.com/go/auth                                                     v0.9.1                                go-module    
cloud.google.com/go/auth/oauth2adapt                                         v0.2.4                                go-module    
cloud.google.com/go/compute/metadata                                         v0.5.0                                go-module    
cloud.google.com/go/iam                                                      v1.2.0                                go-module    
cloud.google.com/go/storage                                                  v1.43.0                               go-module    
coreutils                                                                    9.5-r1                                apk          
coreutils-env                                                                9.5-r1                                apk          
coreutils-fmt                                                                9.5-r1                                apk          
coreutils-sha512sum                                                          9.5-r1                                apk          
curl                                                                         8.9.1-r1                              apk          
filippo.io/edwards25519                                                      v1.1.0                                go-module    
findutils                                                                    4.9.0-r5                              apk          
github.com/Azure/azure-sdk-for-go/sdk/azcore                                 v1.14.0                               go-module    
github.com/Azure/azure-sdk-for-go/sdk/azidentity                             v1.7.0                                go-module    
github.com/Azure/azure-sdk-for-go/sdk/internal                               v1.10.0                               go-module    
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob                         v1.4.0                                go-module    
github.com/Azure/go-ntlmssp                                                  v0.0.0-20221128193559-754e69321358    go-module    
github.com/AzureAD/microsoft-authentication-library-for-go                   v1.2.2                                go-module    
github.com/IBM/sarama                                                        v1.43.3                               go-module    
